"","case_control_group","fruit","measure","human_fruit","human_dropped_fruit","animal_dropped_fruit","bat_fruit","tp_fruit"
"57","case","cashew.fruit","mean",0.180952380952381,0.0428571428571429,0.000680272108843537,0.0897959183673469,0.0182328190743338
"58","case","cashew.fruit","sum",266,63,1,132,26
"59","case","cashew.fruit","count",1470,1470,1470,1470,1426
"60","case","cashew.fruit","numNA",3,3,3,3,47
"61","case","pomegranate","mean",0.505442176870748,0.0258503401360544,0.0102040816326531,0.0884353741496599,0.0988779803646564
"62","case","pomegranate","sum",743,38,15,130,141
"63","case","pomegranate","count",1470,1470,1470,1470,1426
"64","case","pomegranate","numNA",3,3,3,3,47
"65","case","palmyra","mean",0.789115646258503,0.28843537414966,0.0360544217687075,0.462585034013605,0.218092566619916
"66","case","palmyra","sum",1160,424,53,680,311
"67","case","palmyra","count",1470,1470,1470,1470,1426
"68","case","palmyra","numNA",3,3,3,3,47
"69","case","plum","mean",0.654421768707483,0.189115646258503,0.0741496598639456,0.435374149659864,0.0413744740532959
"70","case","plum","sum",962,278,109,640,59
"71","case","plum","count",1470,1470,1470,1470,1426
"72","case","plum","numNA",3,3,3,3,47
"73","case","rose.apple","mean",0.291156462585034,0.0537414965986395,0.0136054421768707,0.147619047619048,0.0792426367461431
"74","case","rose.apple","sum",428,79,20,217,113
"75","case","rose.apple","count",1470,1470,1470,1470,1426
"76","case","rose.apple","numNA",3,3,3,3,47
"77","case","indian.olive","mean",0.771428571428571,0.151700680272109,0.0258503401360544,0.291836734693878,0.124824684431978
"78","case","indian.olive","sum",1134,223,38,429,178
"79","case","indian.olive","count",1470,1470,1470,1470,1426
"80","case","indian.olive","numNA",3,3,3,3,47
"81","case","latkan","mean",0.224489795918367,0.0258503401360544,0.00816326530612245,0.108163265306122,0.014726507713885
"82","case","latkan","sum",330,38,12,159,21
"83","case","latkan","count",1470,1470,1470,1470,1426
"84","case","latkan","numNA",3,3,3,3,47
"85","case","monkey.jack","mean",0.22108843537415,0.0442176870748299,0.0122448979591837,0.16734693877551,0.0364656381486676
"86","case","monkey.jack","sum",325,65,18,246,52
"87","case","monkey.jack","count",1470,1470,1470,1470,1426
"88","case","monkey.jack","numNA",3,3,3,3,47
"89","case","uriam","mean",0.0136054421768707,0.000680272108843537,0.000680272108843537,0.0197278911564626,0.0161290322580645
"90","case","uriam","sum",20,1,1,29,23
"91","case","uriam","count",1470,1470,1470,1470,1426
"92","case","uriam","numNA",3,3,3,3,47
