"","Village_ID","Tree_number","Tree_type","Date_of_observation","Day","Month","Year","Camera_number","Tree_coordinates_east","Tree_coordinates_west","In_H","In_M","In_S","Out_H","Out_M","Out_S","DurStayT","DurContT","Way","Con_place","P_NP","Comments","Number_of_visits","Number_of_stays","Number_of_contaminations","AM_PM"
"280",2011,"2011.ICF2","Sapodilla","1.1.12",1,1,2012,"4",22.81829,89.26167,8,28,50,8,28,52,2,1,2,1,1,NA,1,1,1,"PM"
"281",2011,"2011.ICF2","Sapodilla","1.1.12",1,1,2012,"4",22.81829,89.26167,11,42,38,11,42,39,1,0,0,0,2,NA,1,0,0,"PM"
"282",2011,"2011.ICF2","Sapodilla","1.1.12",1,1,2012,"4",22.81829,89.26167,11,45,3,11,45,5,2,1,2,1,1,NA,1,1,1,"PM"
"283",2011,"2011.ICF2","Sapodilla","1.1.12",1,1,2012,"4",22.81829,89.26167,11,46,52,11,46,53,1,0,0,0,2,NA,1,0,0,"PM"
"284",2011,"2011.ICF2","Sapodilla","1.1.12",1,1,2012,"4",22.81829,89.26167,2,41,25,2,42,41,76,75,2,2,1,NA,1,1,1,"AM"
"285",2012,"2012.ICF05","Banana","21.01.2012",21,1,2012,"12",22.96505,92.06385,6,41,49,6,41,50,1,0,0,0,2,NA,1,0,0,"PM"
"286",2012,"2012.ICF05","Banana","21.01.2012",21,1,2012,"12",22.96505,92.06385,6,42,28,6,43,3,35,34,1,2,0,NA,1,1,1,"PM"
"287",2012,"2012.ICF05","Banana","21.01.2012",21,1,2012,"12",22.96505,92.06385,6,56,48,6,56,49,1,0,0,0,0,NA,1,0,0,"PM"
"288",2012,"2012.ICF05","Banana","21.01.2012",21,1,2012,"12",22.96505,92.06385,7,2,5,7,2,7,2,1,1,2,0,NA,1,1,1,"PM"
"289",2012,"2012.ICF05","Banana","21.01.2012",21,1,2012,"12",22.96505,92.06385,7,25,7,7,25,8,1,0,1,2,0,NA,1,0,0,"PM"
"290",2012,"2012.ICF05","Banana","21.01.2012",21,1,2012,"12",22.96505,92.06385,7,50,42,7,50,52,10,9,1,2,0,NA,1,1,1,"PM"
"291",2012,"2012.ICF05","Banana","21.01.2012",21,1,2012,"12",22.96505,92.06385,7,51,38,7,52,32,54,53,1,2,0,NA,1,1,1,"PM"
"292",2012,"2012.ICF05","Banana","21.01.2012",21,1,2012,"12",22.96505,92.06385,10,44,55,10,44,57,2,1,1,2,0,NA,1,1,1,"PM"
"293",2012,"2012.ICF05","Banana","21.01.2012",21,1,2012,"12",22.96505,92.06385,11,46,46,11,47,6,20,19,1,2,0,NA,1,1,1,"PM"
"294",2012,"2012.ICF05","Banana","21.01.2012",21,1,2012,"12",22.96505,92.06385,12,47,49,12,47,50,1,0,0,0,0,NA,1,0,0,"AM"
"295",2012,"2012.ICF05","Banana","21.01.2012",21,1,2012,"12",22.96505,92.06385,12,48,13,12,48,20,7,6,1,2,0,NA,1,1,1,"AM"
"296",2012,"2012.ICF05","Banana","21.01.2012",21,1,2012,"12",22.96505,92.06385,12,48,52,12,48,55,3,2,1,2,0,NA,1,1,1,"AM"
"297",2012,"2012.ICF05","Banana","21.01.2012",21,1,2012,"12",22.96505,92.06385,12,48,58,12,49,7,9,8,1,2,0,NA,1,1,1,"AM"
"298",2012,"2012.ICF05","Banana","21.01.2012",21,1,2012,"12",22.96505,92.06385,12,55,32,12,56,12,40,39,1,2,0,NA,1,1,1,"AM"
"299",2012,"2012.ICF05","Banana","21.01.2012",21,1,2012,"12",22.96505,92.06385,1,32,36,1,32,50,14,13,1,2,0,NA,1,1,1,"AM"
"300",2012,"2012.ICF05","Banana","21.01.2012",21,1,2012,"12",22.96505,92.06385,2,28,26,2,28,43,17,16,1,2,0,NA,1,1,1,"AM"
